date,name,value
2013-6-30,Haskell,12312
2013-6-30,Perl,11496
2013-6-30,TypeScript,6687
2013-6-30,Lua,5031
2013-6-30,Emacs Lisp,4743
2013-6-30,Erlang,4609
2013-6-30,Clojure,4583
2013-6-30,Groovy,4567
2013-6-30,OCaml,2510
2013-6-30,Vim script,2482
2013-6-30,Puppet,2215
2013-6-30,Common Lisp,1865
2013-6-30,TeX,1814
2013-6-30,Matlab,1592
2013-6-30,Dart,1517
2013-6-30,XSLT,1504
2013-6-30,VimL,1481
2013-6-30,Rust,1382
2013-6-30,Kotlin,1356
2013-6-30,R,1268
2013-6-30,PLpgSQL,1097
2013-6-30,Nix,1049
2013-6-30,Jupyter Notebook,1040
2013-6-30,Vim Script,1013
2013-6-30,Roff,996
2013-6-30,F#,990
2013-6-30,ActionScript,960
2013-6-30,Julia,944
2013-6-30,Elixir,878
2013-6-30,nesC,876
2013-6-30,Smalltalk,871
2013-6-30,Factor,851
2013-6-30,Vala,846
2013-6-30,Haxe,802
2013-6-30,BitBake,793
2013-6-30,Swift,784
2013-6-30,Makefile,775
2013-6-30,Scheme,744
2013-6-30,PowerShell,720
2013-6-30,ColdFusion,687
2013-6-30,Raku,684
2013-6-30,SCSS,667
2013-6-30,Arduino,591
2013-6-30,Assembly,575
2013-6-30,Ada,568
2013-6-30,DM,546
2013-6-30,MATLAB,532
2013-6-30,Fortran,504
2013-6-30,D,484
2013-6-30,BlitzBasic,471
2013-6-30,Tcl,457
2013-6-30,CMake,442
2013-6-30,Prolog,429
2013-6-30,Standard ML,399
2013-6-30,JetBrains MPS,345
2013-6-30,Pascal,341
2013-6-30,Processing,276
2013-6-30,Objective-J,273
2013-6-30,Visual Basic,269
2013-6-30,LiveScript,255
2013-6-30,AutoHotkey,255
2013-6-30,Racket,221
2013-6-30,Logos,219
2013-6-30,FORTRAN,201
2013-6-30,Perl 6,184
2013-6-30,IDL,176
2013-6-30,Gherkin,172
2013-6-30,SourcePawn,162
2013-6-30,Twig,161
2013-6-30,Eagle,159
2013-6-30,VHDL,156
2013-6-30,Xtend,152
2013-6-30,UnrealScript,151
2013-6-30,OpenEdge ABL,143
2013-6-30,Verilog,140
2013-6-30,Handlebars,139
2013-6-30,OpenSCAD,129
2013-6-30,Web Ontology Language,129
2013-6-30,PostScript,127
2013-6-30,Smarty,120
2013-6-30,TSQL,112
2013-6-30,Objective-C++,108
2013-6-30,Agda,108
2013-6-30,Mathematica,103
2013-6-30,Mercury,102
2013-9-30,JavaScript,297023
2013-9-30,Python,236738
2013-9-30,Java,182229
2013-9-30,Ruby,164394
2013-9-30,PHP,162668
2013-9-30,C++,107915
2013-9-30,C,97361
2013-9-30,CSS,53542
2013-9-30,C#,40844
2013-9-30,Shell,37242
2013-9-30,HTML,36036
2013-9-30,Objective-C,31890
2013-9-30,Go,23764
2013-9-30,Scala,16982
2013-9-30,CoffeeScript,16320
2013-9-30,Haskell,15198
2013-9-30,Perl,14661
2013-9-30,TypeScript,8145
2013-9-30,Lua,6813
2013-9-30,Clojure,6659
