value,name,icon,date
44,Czechoslovakia,czechoslovakia.svg.png,2002-07-01
44,Czechoslovakia,czechoslovakia.svg.png,2006-07-01
44,Czechoslovakia,czechoslovakia.svg.png,2010-07-01
44,Czechoslovakia,czechoslovakia.svg.png,2014-07-01
44,Czechoslovakia,czechoslovakia.svg.png,2018-07-01
0,DR Congo,dr_congo.svg.png,1930-07-01
0,DR Congo,dr_congo.svg.png,1934-07-01
0,DR Congo,dr_congo.svg.png,1938-07-01
0,DR Congo,dr_congo.svg.png,1950-07-01
0,DR Congo,dr_congo.svg.png,1954-07-01
0,DR Congo,dr_congo.svg.png,1958-07-01
0,DR Congo,dr_congo.svg.png,1962-07-01
0,DR Congo,dr_congo.svg.png,1966-07-01
0,DR Congo,dr_congo.svg.png,1970-07-01
0,DR Congo,dr_congo.svg.png,1974-07-01
0,DR Congo,dr_congo.svg.png,1978-07-01
0,DR Congo,dr_congo.svg.png,1982-07-01
0,DR Congo,dr_congo.svg.png,1986-07-01
0,DR Congo,dr_congo.svg.png,1990-07-01
0,DR Congo,dr_congo.svg.png,1994-07-01
0,DR Congo,dr_congo.svg.png,1998-07-01
0,DR Congo,dr_congo.svg.png,2002-07-01
0,DR Congo,dr_congo.svg.png,2006-07-01
0,DR Congo,dr_congo.svg.png,2010-07-01
0,DR Congo,dr_congo.svg.png,2014-07-01
0,DR Congo,dr_congo.svg.png,2018-07-01
0,Denmark,denmark.svg.png,1930-07-01
0,Denmark,denmark.svg.png,1934-07-01
0,Denmark,denmark.svg.png,1938-07-01
0,Denmark,denmark.svg.png,1950-07-01
0,Denmark,denmark.svg.png,1954-07-01
0,Denmark,denmark.svg.png,1958-07-01
0,Denmark,denmark.svg.png,1962-07-01
0,Denmark,denmark.svg.png,1966-07-01
0,Denmark,denmark.svg.png,1970-07-01
0,Denmark,denmark.svg.png,1974-07-01
0,Denmark,denmark.svg.png,1978-07-01
0,Denmark,denmark.svg.png,1982-07-01
10,Denmark,denmark.svg.png,1986-07-01
10,Denmark,denmark.svg.png,1990-07-01
10,Denmark,denmark.svg.png,1994-07-01
19,Denmark,denmark.svg.png,1998-07-01
24,Denmark,denmark.svg.png,2002-07-01
24,Denmark,denmark.svg.png,2006-07-01
27,Denmark,denmark.svg.png,2010-07-01
27,Denmark,denmark.svg.png,2014-07-01
30,Denmark,denmark.svg.png,2018-07-01
0,East Germany,east_germany.svg.png,1930-07-01
0,East Germany,east_germany.svg.png,1934-07-01
0,East Germany,east_germany.svg.png,1938-07-01
0,East Germany,east_germany.svg.png,1950-07-01
0,East Germany,east_germany.svg.png,1954-07-01
0,East Germany,east_germany.svg.png,1958-07-01
0,East Germany,east_germany.svg.png,1962-07-01
0,East Germany,east_germany.svg.png,1966-07-01
0,East Germany,east_germany.svg.png,1970-07-01
5,East Germany,east_germany.svg.png,1974-07-01
5,East Germany,east_germany.svg.png,1978-07-01
5,East Germany,east_germany.svg.png,1982-07-01
5,East Germany,east_germany.svg.png,1986-07-01
5,East Germany,east_germany.svg.png,1990-07-01
5,East Germany,east_germany.svg.png,1994-07-01
5,East Germany,east_germany.svg.png,1998-07-01
5,East Germany,east_germany.svg.png,2002-07-01
5,East Germany,east_germany.svg.png,2006-07-01
5,East Germany,east_germany.svg.png,2010-07-01
5,East Germany,east_germany.svg.png,2014-07-01
5,East Germany,east_germany.svg.png,2018-07-01
0,Ecuador,ecuador.svg.png,1930-07-01
0,Ecuador,ecuador.svg.png,1934-07-01
0,Ecuador,ecuador.svg.png,1938-07-01
0,Ecuador,ecuador.svg.png,1950-07-01
0,Ecuador,ecuador.svg.png,1954-07-01
0,Ecuador,ecuador.svg.png,1958-07-01
0,Ecuador,ecuador.svg.png,1962-07-01
0,Ecuador,ecuador.svg.png,1966-07-01
0,Ecuador,ecuador.svg.png,1970-07-01
0,Ecuador,ecuador.svg.png,1974-07-01
0,Ecuador,ecuador.svg.png,1978-07-01
0,Ecuador,ecuador.svg.png,1982-07-01
0,Ecuador,ecuador.svg.png,1986-07-01
0,Ecuador,ecuador.svg.png,1990-07-01
0,Ecuador,ecuador.svg.png,1994-07-01
0,Ecuador,ecuador.svg.png,1998-07-01
2,Ecuador,ecuador.svg.png,2002-07-01
7,Ecuador,ecuador.svg.png,2006-07-01
7,Ecuador,ecuador.svg.png,2010-07-01
10,Ecuador,ecuador.svg.png,2014-07-01
10,Ecuador,ecuador.svg.png,2018-07-01
0,Egypt,egypt.svg.png,1930-07-01
2,Egypt,egypt.svg.png,1934-07-01
2,Egypt,egypt.svg.png,1938-07-01
2,Egypt,egypt.svg.png,1950-07-01
2,Egypt,egypt.svg.png,1954-07-01
2,Egypt,egypt.svg.png,1958-07-01
2,Egypt,egypt.svg.png,1962-07-01
2,Egypt,egypt.svg.png,1966-07-01
2,Egypt,egypt.svg.png,1970-07-01
2,Egypt,egypt.svg.png,1974-07-01
2,Egypt,egypt.svg.png,1978-07-01
2,Egypt,egypt.svg.png,1982-07-01
2,Egypt,egypt.svg.png,1986-07-01
3,Egypt,egypt.svg.png,1990-07-01
3,Egypt,egypt.svg.png,1994-07-01
3,Egypt,egypt.svg.png,1998-07-01
3,Egypt,egypt.svg.png,2002-07-01
3,Egypt,egypt.svg.png,2006-07-01
3,Egypt,egypt.svg.png,2010-07-01
3,Egypt,egypt.svg.png,2014-07-01
5,Egypt,egypt.svg.png,2018-07-01
0,El Salvador,el_salvador.svg.png,1930-07-01
0,El Salvador,el_salvador.svg.png,1934-07-01
0,El Salvador,el_salvador.svg.png,1938-07-01
0,El Salvador,el_salvador.svg.png,1950-07-01
0,El Salvador,el_salvador.svg.png,1954-07-01
0,El Salvador,el_salvador.svg.png,1958-07-01
0,El Salvador,el_salvador.svg.png,1962-07-01
0,El Salvador,el_salvador.svg.png,1966-07-01
0,El Salvador,el_salvador.svg.png,1970-07-01
0,El Salvador,el_salvador.svg.png,1974-07-01
0,El Salvador,el_salvador.svg.png,1978-07-01
1,El Salvador,el_salvador.svg.png,1982-07-01
1,El Salvador,el_salvador.svg.png,1986-07-01
1,El Salvador,el_salvador.svg.png,1990-07-01
1,El Salvador,el_salvador.svg.png,1994-07-01
1,El Salvador,el_salvador.svg.png,1998-07-01
1,El Salvador,el_salvador.svg.png,2002-07-01
1,El Salvador,el_salvador.svg.png,2006-07-01
1,El Salvador,el_salvador.svg.png,2010-07-01
1,El Salvador,el_salvador.svg.png,2014-07-01
1,El Salvador,el_salvador.svg.png,2018-07-01
0,England,england.svg.png,1930-07-01
0,England,england.svg.png,1934-07-01
0,England,england.svg.png,1938-07-01
2,England,england.svg.png,1950-07-01
10,England,england.svg.png,1954-07-01
14,England,england.svg.png,1958-07-01
19,England,england.svg.png,1962-07-01
30,England,england.svg.png,1966-07-01
34,England,england.svg.png,1970-07-01
34,England,england.svg.png,1974-07-01
34,England,england.svg.png,1978-07-01
40,England,england.svg.png,1982-07-01
47,England,england.svg.png,1986-07-01
55,England,england.svg.png,1990-07-01
55,England,england.svg.png,1994-07-01
62,England,england.svg.png,1998-07-01
68,England,england.svg.png,2002-07-01
74,England,england.svg.png,2006-07-01
77,England,england.svg.png,2010-07-01
79,England,england.svg.png,2014-07-01
91,England,england.svg.png,2018-07-01
4,France,france.svg.png,1930-07-01
6,France,france.svg.png,1934-07-01
10,France,france.svg.png,1938-07-01
10,France,france.svg.png,1950-07-01
13,France,france.svg.png,1954-07-01
36,France,france.svg.png,1958-07-01
36,France,france.svg.png,1962-07-01
38,France,france.svg.png,1966-07-01
38,France,france.svg.png,1970-07-01
38,France,france.svg.png,1974-07-01
43,France,france.svg.png,1978-07-01
59,France,france.svg.png,1982-07-01
71,France,france.svg.png,1986-07-01
71,France,france.svg.png,1990-07-01
71,France,france.svg.png,1994-07-01
86,France,france.svg.png,1998-07-01
86,France,france.svg.png,2002-07-01
95,France,france.svg.png,2006-07-01
96,France,france.svg.png,2010-07-01
106,France,france.svg.png,2014-07-01
120,France,france.svg.png,2018-07-01
0,Germany,germany.svg.png,1930-07-01
11,Germany,germany.svg.png,1934-07-01
14,Germany,germany.svg.png,1938-07-01
14,Germany,germany.svg.png,1950-07-01
39,Germany,germany.svg.png,1954-07-01
51,Germany,germany.svg.png,1958-07-01
55,Germany,germany.svg.png,1962-07-01
70,Germany,germany.svg.png,1966-07-01
87,Germany,germany.svg.png,1970-07-01
100,Germany,germany.svg.png,1974-07-01
110,Germany,germany.svg.png,1978-07-01
122,Germany,germany.svg.png,1982-07-01
130,Germany,germany.svg.png,1986-07-01
145,Germany,germany.svg.png,1990-07-01
154,Germany,germany.svg.png,1994-07-01
162,Germany,germany.svg.png,1998-07-01
176,Germany,germany.svg.png,2002-07-01
190,Germany,germany.svg.png,2006-07-01
206,Germany,germany.svg.png,2010-07-01
224,Germany,germany.svg.png,2014-07-01
226,Germany,germany.svg.png,2018-07-01
0,Ghana,ghana.svg.png,1930-07-01
0,Ghana,ghana.svg.png,1934-07-01
0,Ghana,ghana.svg.png,1938-07-01
0,Ghana,ghana.svg.png,1950-07-01
0,Ghana,ghana.svg.png,1954-07-01
0,Ghana,ghana.svg.png,1958-07-01
0,Ghana,ghana.svg.png,1962-07-01
0,Ghana,ghana.svg.png,1966-07-01
0,Ghana,ghana.svg.png,1970-07-01
0,Ghana,ghana.svg.png,1974-07-01
0,Ghana,ghana.svg.png,1978-07-01
0,Ghana,ghana.svg.png,1982-07-01
0,Ghana,ghana.svg.png,1986-07-01
0,Ghana,ghana.svg.png,1990-07-01
0,Ghana,ghana.svg.png,1994-07-01
0,Ghana,ghana.svg.png,1998-07-01
0,Ghana,ghana.svg.png,2002-07-01
4,Ghana,ghana.svg.png,2006-07-01
9,Ghana,ghana.svg.png,2010-07-01
13,Ghana,ghana.svg.png,2014-07-01
13,Ghana,ghana.svg.png,2018-07-01
0,Greece,greece.svg.png,1930-07-01
0,Greece,greece.svg.png,1934-07-01
0,Greece,greece.svg.png,1938-07-01
0,Greece,greece.svg.png,1950-07-01
0,Greece,greece.svg.png,1954-07-01
0,Greece,greece.svg.png,1958-07-01
0,Greece,greece.svg.png,1962-07-01
0,Greece,greece.svg.png,1966-07-01
0,Greece,greece.svg.png,1970-07-01
0,Greece,greece.svg.png,1974-07-01
0,Greece,greece.svg.png,1978-07-01
0,Greece,greece.svg.png,1982-07-01
0,Greece,greece.svg.png,1986-07-01
0,Greece,greece.svg.png,1990-07-01
0,Greece,greece.svg.png,1994-07-01
0,Greece,greece.svg.png,1998-07-01
0,Greece,greece.svg.png,2002-07-01
0,Greece,greece.svg.png,2006-07-01
2,Greece,greece.svg.png,2010-07-01
5,Greece,greece.svg.png,2014-07-01
5,Greece,greece.svg.png,2018-07-01
0,Haiti,haiti.svg.png,1930-07-01
0,Haiti,haiti.svg.png,1934-07-01
0,Haiti,haiti.svg.png,1938-07-01
0,Haiti,haiti.svg.png,1950-07-01
